"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TXRCBUS","194913","4460.434","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195013","4829.337","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195113","5104.476","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195213","5158.193","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195313","5052.515","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195413","5262.307","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195513","5607.812","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195613","5839.383","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195713","5743.9","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195813","6125.37","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195913","6188.311","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196013","6650.835","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196113","6775.61","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196213","7079.711","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196313","7089.813","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196413","7111.751","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196513","7279.422","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196613","7500.386","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196713","7711.36","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196813","7932.745","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196913","8242.797","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197013","8322.406","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197113","8427.451","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197213","8627.379","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197301","1313.816","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197302","1150.011","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197303","970.362","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197304","709.631","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197305","544.596","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197306","385.648","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197307","326.179","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197308","338.036","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197309","361.672","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197310","461.932","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197311","707.132","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197312","956.291","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197313","8225.308","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197401","1212.515","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197402","1036.361","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197403","897.426","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197404","724.092","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197405","507.294","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197406","388.946","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197407","339.266","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197408","318.446","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197409","359.285","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197410","491.557","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197411","638.307","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197412","994.417","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197413","7907.91","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197501","1125.159","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197502","1066.521","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197503","976.858","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197504","856.058","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197505","534.024","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197506","381.986","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197507","341.272","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197508","326.611","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197509","358.313","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197510","456.308","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197511","577.673","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197512","988.846","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197513","7989.629","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197601","1277.212","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197602","1087.483","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197603","882.198","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197604","672.973","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197605","529.469","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197606","420.706","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197607","351.95","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197608","327.176","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197609","353.007","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197610","488.845","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197611","817.854","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197612","1182.262","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197613","8391.135","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197701","1447.095","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197702","1229.291","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197703","857.068","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197704","631.735","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197705","473.686","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197706","384.297","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197707","337.28","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197708","331.138","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197709","346.875","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197710","476.104","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197711","643.115","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197712","1035.933","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197713","8193.619","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197801","1205.053","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197802","1210.296","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197803","1021.338","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197804","670.843","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197805","541.681","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197806","391.921","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197807","343.489","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197808","354.94","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197809","366.276","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197810","480.489","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197811","670.532","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197812","1003.088","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197813","8259.943","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197901","1243.537","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197902","1242.258","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197903","942.975","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197904","682.686","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197905","491.742","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197906","370.212","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197907","328.246","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197908","326.347","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197909","330.04","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197910","444.419","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197911","627.707","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197912","888.74","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197913","7918.91","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198001","1051.683","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198002","1061.133","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198003","915.095","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198004","637.93","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198005","467.967","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198006","365.813","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198007","307.459","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198008","288.127","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198009","312.789","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198010","439.423","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198011","637.694","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198012","953.685","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198013","7439.405","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198101","1174.827","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198102","991.369","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198103","787.885","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198104","537.055","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198105","429.705","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198106","328.956","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198107","293.769","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198108","286.7","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198109","298.618","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198110","456.553","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198111","593.227","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198112","865.253","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198113","7045.285","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198201","1145.192","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198202","1010.225","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198203","843.13","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198204","681.212","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198205","426.786","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198206","332.526","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198207","297.513","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198208","288.456","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198209","335.39","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198210","410.105","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198211","563.214","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198212","812.927","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198213","7146.587","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198301","1112.526","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198302","893.156","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198303","810.14","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198304","651.687","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198305","451.316","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198306","336.296","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198307","296.461","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198308","294.629","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198309","297.488","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198310","363.019","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198311","517.041","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198312","809.371","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198313","6831.823","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198401","1200.03","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198402","935.095","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198403","865.955","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198404","677.707","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198405","484.98","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198406","348.43","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198407","311.54","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198408","312.346","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198409","322.161","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198410","384.254","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198411","548.468","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198412","820.949","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198413","7210.899","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198501","1038.664","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198502","1105.351","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198503","809.187","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198504","599.29","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198505","402.673","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198506","339.028","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198507","315.682","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198508","315.269","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198509","324.773","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198510","414.072","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198511","537.897","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198512","950.331","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198513","7148.219","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198601","1079.456","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198602","944.488","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198603","826.884","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198604","563.26","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198605","429.552","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198606","324.679","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198607","306.932","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198608","306.457","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198609","313.691","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198610","399.736","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198611","559.769","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198612","852.497","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198613","6906.19","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198701","1012.932","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198702","925.746","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198703","818.442","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198704","603.744","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198705","410.234","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198706","326.908","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198707","314.036","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198708","297.592","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198709","321.32","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198710","452.286","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198711","582.158","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198712","858.959","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198713","6923.374","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198801","1149.208","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198802","1021.545","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198803","854.493","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198804","605.016","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198805","455.883","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198806","333.438","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198807","319.541","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198808","316.005","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198809","325.603","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198810","452.908","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198811","622.158","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198812","901.408","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198813","7356.785","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198901","1035.835","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198902","993.387","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198903","909.774","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198904","629.471","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198905","458.244","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198906","353.698","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198907","321.45","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198908","331.343","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198909","346.948","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198910","454.027","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198911","643.427","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198912","1094.369","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198913","7570.921","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199001","998.242","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199002","833.535","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199003","739.796","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199004","572.502","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199005","411.281","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199006","317.722","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199007","288.175","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199008","295.425","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199009","301.791","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199010","394.7","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199011","560.225","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199012","839.803","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199013","6552.067","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199101","1081.775","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199102","856.738","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199103","765.787","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199104","543.492","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199105","391.816","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199106","306.699","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199107","292.759","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199108","283.728","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199109","297.23","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199110","401.937","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199111","647.916","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199112","877.209","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199113","6745.777","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199201","1021.268","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199202","903.382","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199203","776.563","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199204","611.751","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199205","414.974","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199206","323.69","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199207","297.171","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199208","282.438","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199209","316.615","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199210","423.276","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199211","630.259","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199212","948.548","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199213","6949.118","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199301","1049.161","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199302","974.792","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199303","920.057","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199304","629.379","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199305","395.202","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199306","323.172","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199307","295.444","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199308","292.198","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199309","305.207","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199310","407.855","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199311","633.136","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199312","915.18","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199313","7140.033","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199401","1190.852","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199402","1051.467","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199403","827.057","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199404","553.874","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
